Date,Precipitation,TempAvg,TempMin,TempMax,Bici,Edad_Usuario,n_CO,n_UVA,n_UVB
2019-07-28,,70,,,9841,35.5924194695661,3.9968750000000006,23.114727272727272,23.114727272727272
2019-07-29,0.25,62,54,80,27295,35.03267997801795,6.809375,19.763454545454547,19.763454545454547
2019-07-30,0.1,65,54,76,29622,35.000371345621495,4.768749999999999,20.87709090909091,20.87709090909091
2019-07-31,0.01,65,54,78,28364,35.01554787759131,5.265624999999999,19.83927272727273,19.83927272727273
2019-08-01,0.42,64,55,77,27710,35.09689642728257,10.771875000000001,18.274772727272726,18.274772727272726
2019-08-02,0.0,67,55,80,29268,35.18993439934399,4.1187499999999995,17.427454545454545,17.427454545454545
2019-08-03,0.0,68,55,78,31530,35.18997779892166,7.946875000000001,21.047909090909094,21.047909090909094
2019-08-04,0.0,69,55,80,29940,35.02561790247161,5.7124999999999995,18.815454545454546,18.815454545454546
2019-08-05,0.06,68,59,79,31813,35.1581428975576,7.249999999999999,20.080818181818184,20.080818181818184
2019-08-06,0.66,62,56,77,13480,35.06320474777448,9.29375,21.510545454545454,21.510545454545454
2019-08-07,,62,56,78,22559,35.27869143135777,6.021875,18.719454545454543,18.719454545454543
2019-08-08,0.71,64,,,30270,35.131516352824576,5.640624999999999,23.65281818181818,23.65281818181818
2019-08-09,0.0,69,55,82,11249,35.49693306071651,4.453124999999999,24.87981818181818,24.87981818181818
2019-08-10,0.06,66,58,81,,,3.9562500000000003,8.336090909090908,8.336090909090908
2019-08-11,0.0,69,58,80,,,3.4906249999999996,19.497545454545456,19.497545454545456
2019-08-12,,67,58,80,,,9.768749999999999,16.264363636363637,16.264363636363637
2019-08-13,0.14,69,56,80,30279,34.90006274976056,4.94375,23.00790909090909,23.00790909090909
2019-08-14,0.95,65,54,83,30118,34.91988179826018,4.8375,24.262818181818183,24.262818181818183
2019-08-15,0.02,70,58,82,30218,34.94367595472897,4.778125,21.687,21.687
2019-08-16,0.0,69,57,83,29198,35.091273374888694,4.8968750000000005,23.886636363636363,23.886636363636363
2019-08-17,0.0,71,57,83,12629,35.221711932852955,5.009375000000001,23.61554545454545,23.61554545454545
2019-08-18,,68,59,82,10937,35.26259486147938,5.943749999999999,23.332727272727276,23.332727272727276
2019-08-19,0.0,67,59,82,29267,34.8685208596713,3.73125,19.29909090909091,19.29909090909091
2019-08-20,0.0,66,,,31164,34.88258888461045,3.4093750000000003,24.287545454545455,24.287545454545455
